Problema;Cenario;Algoritmo;N;Tempo_s;Comparacoes;Trocas
2;Ordenado Execucao 1;Heap Sort;5000;0.000656;112126;60932
2;Ordenado Execucao 1;Quick Sort;5000;0.030661;12497500;0
2;Ordenado Execucao 2;Heap Sort;5000;0.000641;112126;60932
2;Ordenado Execucao 2;Quick Sort;5000;0.035170;12497500;0
2;Ordenado Execucao 3;Heap Sort;5000;0.000710;112126;60932
2;Ordenado Execucao 3;Quick Sort;5000;0.036937;12497500;0
2;Ordenado Execucao 4;Heap Sort;5000;0.000770;112126;60932
2;Ordenado Execucao 4;Quick Sort;5000;0.032042;12497500;0
2;Ordenado Execucao 5;Heap Sort;5000;0.000852;112126;60932
2;Ordenado Execucao 5;Quick Sort;5000;0.034231;12497500;0
2;Ordenado Execucao 6;Heap Sort;5000;0.001033;112126;60932
2;Ordenado Execucao 6;Quick Sort;5000;0.034774;12497500;0
2;Ordenado Execucao 7;Heap Sort;5000;0.000669;112126;60932
2;Ordenado Execucao 7;Quick Sort;5000;0.035917;12497500;0
2;Ordenado Execucao 8;Heap Sort;5000;0.000794;112126;60932
2;Ordenado Execucao 8;Quick Sort;5000;0.031872;12497500;0
2;Ordenado Execucao 9;Heap Sort;5000;0.000677;112126;60932
2;Ordenado Execucao 9;Quick Sort;5000;0.030484;12497500;0
2;Ordenado Execucao 10;Heap Sort;5000;0.000836;112126;60932
2;Ordenado Execucao 10;Quick Sort;5000;0.030551;12497500;0
