Problema;Cenario;Algoritmo;N;Tempo_s;Comparacoes;Trocas
1;Aleatorio;Insertion Sort;30000;0.298226;225697282;225667291
1;Aleatorio;Selection Sort;30000;0.357999;449985000;29992
1;Aleatorio;Bubble Sort Melhorado;30000;1.242654;449897368;225667291
1;Ordenado;Insertion Sort;30000;0.000039;29999;0
1;Ordenado;Selection Sort;30000;0.362680;449985000;0
1;Ordenado;Bubble Sort Melhorado;30000;0.000023;29999;0
1;Inverso;Insertion Sort;30000;0.599152;449985000;449985000
1;Inverso;Selection Sort;30000;0.416376;449985000;15000
1;Inverso;Bubble Sort Melhorado;30000;1.115475;449985000;449985000
2;Ordenado Execucao 1;Heap Sort;5000;0.000388;112126;60932
2;Ordenado Execucao 1;Quick Sort;5000;0.011086;12497500;0
2;Ordenado Execucao 2;Heap Sort;5000;0.000335;112126;60932
2;Ordenado Execucao 2;Quick Sort;5000;0.010434;12497500;0
2;Ordenado Execucao 3;Heap Sort;5000;0.000401;112126;60932
2;Ordenado Execucao 3;Quick Sort;5000;0.010344;12497500;0
2;Ordenado Execucao 4;Heap Sort;5000;0.000428;112126;60932
2;Ordenado Execucao 4;Quick Sort;5000;0.010457;12497500;0
2;Ordenado Execucao 5;Heap Sort;5000;0.000394;112126;60932
2;Ordenado Execucao 5;Quick Sort;5000;0.010565;12497500;0
2;Ordenado Execucao 6;Heap Sort;5000;0.000390;112126;60932
2;Ordenado Execucao 6;Quick Sort;5000;0.010379;12497500;0
2;Ordenado Execucao 7;Heap Sort;5000;0.000405;112126;60932
2;Ordenado Execucao 7;Quick Sort;5000;0.010214;12497500;0
2;Ordenado Execucao 8;Heap Sort;5000;0.000479;112126;60932
2;Ordenado Execucao 8;Quick Sort;5000;0.010193;12497500;0
2;Ordenado Execucao 9;Heap Sort;5000;0.000428;112126;60932
2;Ordenado Execucao 9;Quick Sort;5000;0.010248;12497500;0
2;Ordenado Execucao 10;Heap Sort;5000;0.000423;112126;60932
2;Ordenado Execucao 10;Quick Sort;5000;0.010526;12497500;0
3;Quase Ordenado;Insertion Sort;50000;0.000071;50249;250
3;Quase Ordenado;Shell Sort;50000;0.001089;700256;250
