Problema;Cenario;Algoritmo;N;Tempo_s;Comparacoes;Trocas
2;Ordenado Execucao 1;Heap Sort;5000;0.000792;112126;60932
2;Ordenado Execucao 1;Quick Sort;5000;0.036623;12497500;0
2;Ordenado Execucao 2;Heap Sort;5000;0.000955;112126;60932
2;Ordenado Execucao 2;Quick Sort;5000;0.039081;12497500;0
2;Ordenado Execucao 3;Heap Sort;5000;0.001029;112126;60932
2;Ordenado Execucao 3;Quick Sort;5000;0.037004;12497500;0
2;Ordenado Execucao 4;Heap Sort;5000;0.000883;112126;60932
2;Ordenado Execucao 4;Quick Sort;5000;0.038719;12497500;0
2;Ordenado Execucao 5;Heap Sort;5000;0.001041;112126;60932
2;Ordenado Execucao 5;Quick Sort;5000;0.036388;12497500;0
2;Ordenado Execucao 6;Heap Sort;5000;0.001031;112126;60932
2;Ordenado Execucao 6;Quick Sort;5000;0.037305;12497500;0
2;Ordenado Execucao 7;Heap Sort;5000;0.001038;112126;60932
2;Ordenado Execucao 7;Quick Sort;5000;0.039344;12497500;0
2;Ordenado Execucao 8;Heap Sort;5000;0.000961;112126;60932
2;Ordenado Execucao 8;Quick Sort;5000;0.037350;12497500;0
2;Ordenado Execucao 9;Heap Sort;5000;0.000741;112126;60932
2;Ordenado Execucao 9;Quick Sort;5000;0.038009;12497500;0
2;Ordenado Execucao 10;Heap Sort;5000;0.001013;112126;60932
2;Ordenado Execucao 10;Quick Sort;5000;0.040789;12497500;0
