Problema;Cenario;Algoritmo;N;Tempo_s;Comparacoes;Trocas
2;Ordenado Execucao 1;Heap Sort;5000;0.000410;112126;60932
2;Ordenado Execucao 1;Quick Sort;5000;0.010938;12497500;0
2;Ordenado Execucao 2;Heap Sort;5000;0.000418;112126;60932
2;Ordenado Execucao 2;Quick Sort;5000;0.010283;12497500;0
2;Ordenado Execucao 3;Heap Sort;5000;0.000395;112126;60932
2;Ordenado Execucao 3;Quick Sort;5000;0.010765;12497500;0
2;Ordenado Execucao 4;Heap Sort;5000;0.000422;112126;60932
2;Ordenado Execucao 4;Quick Sort;5000;0.010461;12497500;0
2;Ordenado Execucao 5;Heap Sort;5000;0.000421;112126;60932
2;Ordenado Execucao 5;Quick Sort;5000;0.010329;12497500;0
2;Ordenado Execucao 6;Heap Sort;5000;0.000444;112126;60932
2;Ordenado Execucao 6;Quick Sort;5000;0.010254;12497500;0
2;Ordenado Execucao 7;Heap Sort;5000;0.000455;112126;60932
2;Ordenado Execucao 7;Quick Sort;5000;0.010516;12497500;0
2;Ordenado Execucao 8;Heap Sort;5000;0.000415;112126;60932
2;Ordenado Execucao 8;Quick Sort;5000;0.010264;12497500;0
2;Ordenado Execucao 9;Heap Sort;5000;0.000334;112126;60932
2;Ordenado Execucao 9;Quick Sort;5000;0.010261;12497500;0
2;Ordenado Execucao 10;Heap Sort;5000;0.000419;112126;60932
2;Ordenado Execucao 10;Quick Sort;5000;0.010487;12497500;0
